Process Name                  PID       Username
kernel_task                   0         root
launchd                       1         root
logd                          99        root
UserEventAgent                101       root
fseventsd                     103       root
mediaremoted                  104       root
systemstats                   107       root
configd                       111       root
powerd                        113       root
IOMFB_bics_daemo              114       root
remoted                       118       root
corespeechd_syst              122       _corespeechd
watchdogd                     124       root
mds                           128       root
kernelmanagerd                130       root
diskarbitrationd              131       root
syslogd                       135       root
thermalmonitord               137       root
contextstored                 138       root
opendirectoryd                139       root
apsd                          141       root
launchservicesd               142       root
timed                         143       _timed
usbmuxd                       144       _usbmuxd
securityd                     145       root
locationd                     147       _locationd
autofsd                       150       root
dasd                          151       root
corerepaird                   152       root
distnoted                     154       _distnote
PerfPowerService              156       root
logind                        158       root
revisiond                     159       root
KernelEventAgent              160       root
bluetoothd                    164       root
notifyd                       165       root
corebrightnessd               167       root
AirPlayXPCHelper              168       root
com.apple.cmio.r              169       root
WindowServer                  171       root
tccd                          172       root
cfprefsd                      173       root
loginwindow                   174       root
runningboardd                 176       root
trustd                        179       _trustd
coreservicesd                 180       root
analyticsd                    181       _analyticsd
coreaudiod                    182       _coreaudiod
apfsd                         184       root
nehelper                      187       root
lsd                           188       root
backupd-helper                192       root
nsurlsessiond                 194       _nsurlsessiond
eligibilityd                  199       root
distnoted                     206       _coreaudiod
distnoted                     207       _windowserver
com.apple.audio.              212       _coreaudiod
airportd                      213       root
audiomxd                      214       _audiomxd
mDNSResponder                 215       _mdnsresponder
authd                         242       root
distnoted                     249       root
syspolicyd                    252       root
audioclocksyncd               264       root
biomed                        266       _biome
symptomsd                     268       _networkd
mDNSResponderHel              276       root
distnoted                     278       _cmiodalassistants
socketfilterfw                283       root
audioanalyticsd               288       root
appleeventsd                  294       _appleevents
modelmanagerd                 296       _modelmanagerd
backupd                       300       root
WirelessRadioMan              302       root
distnoted                     305       _audiomxd
appleh13camerad               306       _cmiodalassistants
com.apple.Driver              308       _driverkit
com.apple.Driver              309       _driverkit
com.apple.AppleU              310       _driverkit
SubmitDiagInfo                314       root
searchpartyd                  315       root
mysqld                        316       _mysql
cameracaptured                317       _cmiodalassistants
UVCAssistant                  318       _cmiodalassistants
suhelperd                     319       root
distnoted                     323       _locationd
distnoted                     330       _softwareupdate
filecoordination              337       root
ctkahp                        340       root
mds_stores                    355       _mds_stores
wifianalyticsd                356       root
ctkd                          360       _ctkd
distnoted                     371       _accessoryupdater
distnoted                     375       _nsurlsessiond
systemstats                   376       root
IOUserBluetoothS              381       _driverkit
IOUserBluetoothS              383       _driverkit
IOUserBluetoothS              384       _driverkit
IOUserBluetoothS              385       _driverkit
IOUserBluetoothS              386       _driverkit
IOUserBluetoothS              387       _driverkit
IOUserBluetoothS              388       _driverkit
IOUserBluetoothS              389       _driverkit
distnoted                     391       ash_10
cfprefsd                      392       ash_10
UserEventAgent                394       ash_10
universalaccessd              400       ash_10
pboard                        402       ash_10
imklaunchagent                403       ash_10
pkd                           404       ash_10
BiomeAgent                    405       ash_10
containermanagerd             406       ash_10
lsd                           407       ash_10
nsurlsessiond                 412       ash_10
WindowManager                 414       ash_10
ContextStoreAgent             415       ash_10
usernoted                     416       ash_10
rapportd                      418       ash_10
Dock                          419       ash_10
ControlCenter                 420       ash_10
SystemUIServer                421       ash_10
Finder                        422       ash_10
secd                          423       ash_10
AccessibilityUIServer         426       ash_10
WallpaperAgent                428       ash_10
distnoted                     430       _appleevents
corespotlightd                434       ash_10
com.apple.hiservices-xpcservice435       ash_10
cloudd                        436       ash_10
CoreLocationAgent             438       ash_10
trustd                        439       ash_10
usernotificationsd            441       ash_10
tccd                          443       ash_10
ContinuityCaptureAgent        446       ash_10
syncdefaultsd                 448       ash_10
identityservicesd             449       ash_10
fontd                         450       ash_10
automountd                    451       root
sharedfilelistd               453       ash_10
AMPDeviceDiscoveryAgent       455       ash_10
fontworker                    456       ash_10
audioaccessoryd               458       ash_10
accountsd                     459       ash_10
PAH_Extension                 462       ash_10
ViewBridgeAuxiliary           464       ash_10
chronod                       465       ash_10
ctkahp                        473       ash_10
NotificationCenter            476       ash_10
Spotlight                     477       ash_10
useractivityd                 482       ash_10
com.apple.dock.extra          483       ash_10
sharingd                      487       ash_10
CursorUIViewService           489       ash_10
oahd                          493       _oahd
StatusKitAgent                502       ash_10
neagent                       503       ash_10
WiFiAgent                     504       ash_10
duetexpertd                   505       ash_10
FindMyWidgetItems             513       ash_10
heard                         514       ash_10
corespeechd                   515       ash_10
icdd                          522       ash_10
AirPlayUIAgent                527       ash_10
knowledge-agent               529       ash_10
imagent                       530       ash_10
diagnostics_agent             531       ash_10
TextInputMenuAgent            532       ash_10
familycircled                 536       ash_10
UIKitSystem                   538       ash_10
nearbyd                       540       _nearbyd
WallpaperImageExtension       544       ash_10
networkserviceproxy           548       ash_10
assistantd                    564       ash_10
WallpaperAerialsExtension     567       ash_10
CloudTelemetryService         568       ash_10
mdbulkimport                  569       ash_10
HostInferencePro              581       _modelmanagerd
distnoted                     582       _modelmanagerd
commerce                      586       ash_10
mediaremoteagent              587       ash_10
avconferenced                 588       ash_10
gamepolicyd                   598       root
CalendarWidgetExtension       603       ash_10
TipsWidgetExtension           608       ash_10
FindMyWidgetPeople            609       ash_10
JournalWidgetsSecure          610       ash_10
SafariWidgetExtension         611       ash_10
ScreenTimeWidgetExtension     616       ash_10
ShortcutsWidgetExtension      617       ash_10
HomeEnergyWidgetsExtension    619       ash_10
WeatherWidget                 620       ash_10
StocksWidget                  621       ash_10
HomeWidget                    622       ash_10
RemindersWidgetExtension      624       ash_10
PodcastsWidget                625       ash_10
JournalWidgets                626       ash_10
PeopleWidget_macOSExtension   627       ash_10
com.apple.Notes.WidgetExtension628       ash_10
PhotosReliveWidget            629       ash_10
WorldClockWidget              630       ash_10
BatteriesAvocadoWidgetExtension631       ash_10
distnoted                     638       _gamecontrollerd
distnoted                     649       _applepay
fairplayd                     672       _fpsd
installcoordinat              675       _installcoordinationd
distnoted                     677       _installcoordinationd
CrashReporterSup              685       root
wifivelocityd                 687       root
Safari                        704       ash_10
CVMServer                     710       root
passd                         711       ash_10
SafariBookmarksSyncAgent      714       ash_10
com.apple.WebKit.Networking   715       ash_10
com.apple.WebKit.GPU          716       ash_10
remotepairingd                725       ash_10
com.apple.CoreSimulator.CoreSimulatorService727       ash_10
simdiskimaged                 729       root
webinspectord                 731       ash_10
diskimagesiod                 736       _diskimagesiod
VTDecoderXPCService           759       ash_10
SimLaunchHost.arm64           761       ash_10
SimulatorTrampoline           762       ash_10
lskdd                         805       _fpsd
PowerChime                    807       ash_10
distnoted                     832       _rmd
managedappdistri              847       root
Electron                      900       ash_10
chrome_crashpad_handler       909       ash_10
Code Helper (GPU)             910       ash_10
Code Helper                   911       ash_10
Code Helper (Renderer)        913       ash_10
Code Helper                   920       ash_10
com.apple.appkit.xpc.openAndSavePanelService944       ash_10
Code Helper                   948       ash_10
Code Helper                   950       ash_10
managedappdistributionagent   1189      ash_10
AppleSpell                    1255      ash_10
mbuseragent                   1271      ash_10
mdwrite                       1321      ash_10
ServiceExtension              1558      ash_10
distnoted                     1645      _spotlight
mdbulkimport                  1646      _spotlight
callservicesd                 1679      ash_10
usermanagerd                  1759      root
peopled                       1762      ash_10
deleted                       1847      ash_10
cloudd                        1891      root
systemstatusd                 1954      root
sysmond                       2088      root
Siri                          2577      ash_10
searchpartyuseragent          2580      ash_10
com.apple.Safari.History      2588      ash_10
aned                          2592      root
extensionkitservice           2600      ash_10
SiriNCService                 2614      ash_10
rtcreportingd                 2636      root
spotlightknowledged           2639      ash_10
suggestd                      2640      ash_10
coreduetd                     2641      root
ContextService                2642      ash_10
deleted_helper                2643      root
fileproviderd                 2646      ash_10
com.apple.quicklook.ThumbnailsAgent2647      ash_10
IntelligencePlatformComputeService2780      ash_10
biometrickitd                 2790      root
online-auth-agen              3138      root
linkd                         3141      ash_10
replayd                       3144      ash_10
secinitd                      3149      ash_10
dmd                           3150      ash_10
coreauthd                     3157      ash_10
coreauthd                     3158      root
akd                           3160      ash_10
talagentd                     3164      ash_10
com.apple.CodeSi              3165      root
bird                          3177      ash_10
contentlinkingd               3223      ash_10
parsecd                       3230      ash_10
com.apple.Safari.SafeBrowsing.Service3231      ash_10
swcd                          3232      ash_10
SafariNotificationAgent       3237      ash_10
com.apple.accessibility.mediaaccessibilityd3238      ash_10
AudioComponentRegistrar       3239      ash_10
CoreServicesUIAgent           3242      ash_10
ImageIOXPCService             3244      ash_10
translationd                  3248      ash_10
routined                      3322      ash_10
inputanalyticsd               3333      ash_10
com.apple.Safari.SearchHelper 3334      ash_10
IMAutomaticHistoryDeletionAgent3368      ash_10
maild                         3379      ash_10
coreautha                     3383      ash_10
AppSSOAgent                   3396      ash_10
AppSSODaemon                  3398      root
AppPredictionIntentsHelperService3408      ash_10
siriactionsd                  3410      ash_10
sandboxd                      3430      root
ShortcutsViewService          3434      ash_10
liveactivitiesd               3435      ash_10
milod                         3441      ash_10
homed                         3603      ash_10
Keychain Circle Notification  3609      ash_10
logd_helper                   3624      root
SoftwareUpdateNotificationManager3744      ash_10
netbiosd                      3749      _netbios
nsattributedstringagent       3753      ash_10
ThemeWidgetControlViewService 3767      ash_10
distnoted                     3832      _appinstalld
Terminal                      3837      ash_10
intelligencecontextd          3838      ash_10
amfid                         3868      root
com.apple.WebKit.WebContent   3946      ash_10
LinkedNotesUIService          4044      ash_10
Notes                         4045      ash_10
